,,,,,,,,positive,,,,,,,,,,,,,,,,
#,SkillsShortage,Skills Shortage,Businesses tell us that they simply can not find enough skilled and trained people to employ. The modern economy is increasingly skills-based and our citizens just aren't educated enough to take their place in the modern workforce. This is going to have a negative impact on the economy.,ECONOMY,sit_icons_skillsshortage.dds,Business leaders have complained that we simply do not have enough highly skilled workers to fill job vacancies.,Business leaders inform you that there is no longer a noticeable skills shortage in the economy. Our citizens are now sufficiently educated and trained to provide for the economies needs.,0,0,0,"_default_,0.75+(0*x)","LiteracyRate,0-(0.4*x)","StateSchools,0-(0.2*x)","UniversityGrants,0-(0.2*x)","Immigration,0-(0.2*x)",#,"GDP,-0.14-(0.15*x)",,,,,,,
#,Pollution,Pollution,"Without enough measures in place to regulate what gets pumped into the air, we have ended up with high levels of pollution. This affects our health levels and quality of life. Not surprisingly environmentalists are especially upset.",ECONOMY,sit_icons_pollution.dds,We have a serious pollution problem. This could lead to health problems,"Environmental experts tell us that the countries pollution problem is now under control, our citizens no longer need to wear facemasks when cycling to work!",0,500,0,"AirQuality,1.0-(1.0*x)",#,"Environmentalist,-0.1-(0.3*x)","Lifespan,-0.1-(0.2*x)","Environmentalist_freq,0.1+(0.1*x)",,,,,,,,,
#,CheapImports,Cheap Imports,"The man in the street is not too fussy about where his consumer products come from, and increasingly our shops are being filled with cheaply made products imported from our competitors across the borders. This is leading to anger amongst trade unionists and higher than normal unemployment",ECONOMY,sit_icons_cheapimports.dds,Economic advisors are concerned by a major growth in the amount of cheap imports into the country from cheaper nations,"The earlier problems of cheap imported goods is no longer a serious concern for domestic businesses, who are again able to compete successfully with imports.",0,0,0,"_default_,0.40+(0*x)","CorporationTax,0+(0.2*x)","WorkerProductivity,0-(0.18*x)","ImportTarrifs,-0.1-(0.6*x)",#,"TradeUnionist,-0.15-(0.2*x)","GDP,-0.06-(0.06*x)", , ,,,,,
#,TechnologicalAdvantage,Technological Advantage,It looks like our country is leading the world in a number of major areas of science and technology. This is great news for our economy as it means we have a major advantage over our competitors.,ECONOMY,sit_icons_technologicaladvantage.dds,Technology experts inform you that this country has a significant technological advantage over its less tech-savvy competitors,"Recent reports show that our country has lost its technological 'edge', and we are now outclassed in technological terms by other countries. This is likely to cause a negative effect on our GDP.",1,0,0,"_default_,0+(0*x)","TaxShelters,0.04+(0.4*x),5","TechnologyGrants,0.1+(0.25*x),11","UniversityGrants,0.05+(0.15*x),8","LiteracyRate,0.4*(x^6),14","StemCells,-0.06+(0.12*x)","ScienceFunding,-0.1+(0.2*x),12","Creationism,0+(0.1*x)","SpaceProgram,0+(0.13*x)",#,"GDP,0.07+(0.09*x),4","InternetAccess,0.1+(0.1*x)","WorkerProductivity,0.1+(0.05*x)","TechnologyBackwater,-1.0-(0*x)"
#,HighProductivity,High Productivity,"Our workforce are extremely productive, producing a higher amount of practically everything in comparison with our competitors. This is great news for the future of our economy.",ECONOMY,sit_icons_highproductivity.dds,Business pundits report that our companies are highly efficient and productive in comparison with competing nations,"Our workers productivity has fallen and sadly, we are no longer considered to be a nation with especially high productivity. Global corporations may rethink setting up factories here, and this will affect our economy.",1,0,0,"WorkerProductivity,0+(0.95*x)","MaternityLeave,-0.1-(0.26*x)",#,"GDP,0.04+(0.03*x)","WastefulEconomy,-1.0+(0*x)",,,,,,,,,
#,StreetGangs,Street Gangs,"Street gangs are an ever more common sight on the streets of our cities. Although not all street gangs are involved in violence, some are, and there must be something that our teenage citizens could be doing rather than loitering on street corners?",LAWANDORDER,sit_icons_streetgangs.dds,"The police chiefs report a significant new problem in terms of street gangs, often related to violent crime","At a recent press conference, our chief of police was happy to report that the earlier problem of 'street gangs' is now under control, which means less crime, and happier citizens.",0,500,0,"ArmedPolice,-0.1-(0.4*x)","CCTVCameras,-0.1-(0.1*x)","CommunityPolicing,-0.1-(0.3*x)","PovertyRate,0+(0.78*x)","Unemployment,0.1+(0.5*x)",#,"CrimeRate,0.12+(0.1*x)","Conservatives,-0.1-(0.1*x)","Retired,-0.1-(0.2*x)",,,,,
#,AntisocialBehaviour,Antisocial Behaviour,"Vandalism, public nuisance, petty street crime, these are all the results of an antisocial 'loutish' behaviour that has become commonplace on our streets. Often linked to consumption of alcohol, and not helped by insufficient levels of police on the streets, Antisocial behaviour causes stress for many of our citizens.",LAWANDORDER,sit_icons_antisocialbehaviour.dds,Police chiefs and community leaders have reported a widespread problem of antisocial behaviour ,Crime statisticians are pleased to report that the extent of antisocial behaviour in our nation has fallen considerably and it is no longer a major cause of crime.,0,45,0,"_default_,0.8+(0*x)","CCTVCameras,0-(0.3*x)","PoliceForce,0-(0.6*x)","CommunityPolicing,-0.1-(0.25*x)",#,"CrimeRate,0.1+(0.1*x)","Conservatives,-0.1-(0.4*x)",,,,,,,
#,GeneralStrike,General Strike,"Widespread dissatisfaction with the government has led to trade unions calling a general strike. Although not everyone in the country is withholding their labour, a number of key industries are crippled by this strike which will be disastrous both economically and politically.",ECONOMY,sit_icons_generalstrike.dds,"A general strike has been called, with tens of thousands of our citizens walking out of their jobs to protest against the government. This will cripple our economy","Thankfully the general strike has been called off and our citizens are returning to work, this is great news for the economy!",0,1000,0,"AverageIncome,0.3-(0.6*x)","LabourLaws,0-(0.3*x)","PovertyRate,-0.2+(0.7*x)","Unemployment,0+(0.2*x)",#,"GDP,-0.3-(0.2*x)","Conservatives,-0.2-(0.3*x)",,,,,,,
#,TourismBoom,Tourism Boom,"Record numbers of tourists are visiting our country and naturally they are spending their much-appreciated tourist money here. This is great news for our economy, and great new for jobs.",ECONOMY,sit_icons_tourismboom.dds,Our tourist industry is booming. Record numbers of overseas visitors are flocking to our shores,"The national tourist board has delivered a depressing report to government, indicating a major slump in tourism. Sadly, the industry is no longer making a noticeable contribution to the economy.",1,0,0,"_default_,0.6+(0*x)","AirlineTax,0-(0.3*x)","AntisocialBehaviour,0.2-(0.2*x)","CrimeRate,0-(0.1*x),8","StreetGangs,0-(0.5*x)","ViolentCrimeRate,0-(0.2*x),8","ForeignRelations,-0.2+(0.4*x),4","BorderControls,0.05-(0.25*x)",#,"GDP,0.04+(0.06*x),4",,,,
#,TechnologyBackwater,Technology Backwater,"Our economy is based too much on old technology, and this is hurting our competitiveness abroad, and therefore affecting the countries GDP and wealth. We need to make some serious investment in technology and hi-tech skills if we are to lift our economy up to match our competitors",ECONOMY,sit_icons_technologybackwater.dds,Our economy is outdated in terms of technology which is having a bad effect on our competitiveness,"Great news! The center for technology and business has announced that our nation is no longer perceived as being 'backwards' in technological terms. This will be welcome news for the economy, as it opens up opportunities for technology investment.",0,0,0,"_default_,1.3+(0*x)","TaxShelters,0-(0.08*x),2","TechnologyGrants,0-(0.35*x),11","UniversityGrants,0-(0.2*x),8","LiteracyRate,0-(0.5*x),4","ScienceFunding,0-(0.34*x),4",,"StemCells,0.06-(0.12*x)","Creationism,0.22-(0.22*x)","SpaceProgram,0-(0.13*x)",#,"GDP,-0.1-(0.2*x)",,
